Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R354,100Ω,R0603,21.26,-24.76025,0.0,top
R355,10MΩ,R0603,21.26,-27.23375,0.0,top
R357,47Ω,R0603,21.26,-29.70725,0.0,top
R358,47Ω,R0603,21.26,-32.18075,0.0,top
R359,10MΩ,R0603,25.3,-22.28675,0.0,top
R360,10kΩ,R0603,25.3,-24.76025,0.0,top
R361,470Ω,R0603,25.3,-27.23375,0.0,top
R362,100Ω,R0603,25.3,-29.70725,0.0,top
R363,1kΩ,R0603,25.3,-32.18075,0.0,top
R364,68kΩ,R0603,29.34,-22.28675,0.0,top
R365,47Ω,R0603,29.34,-24.76025,0.0,top
R367,1MΩ,R0603,29.34,-27.23375,0.0,top
R368,68kΩ,R0603,29.34,-29.70725,0.0,top
R370,100kΩ,R0402,62.48025,-35.83475,0.0,top
R374,5.1kΩ,R0603,82.08,-113.96675,0.0,top
R375,5.1kΩ,R0603,82.08,-116.44025,0.0,top
R376,10kΩ,R0603,82.08,-118.91375,0.0,top
R377,10kΩ,R0603,82.08,-121.38725,0.0,top
R378,1mΩ,R3920,25.836,-36.958,0.0,top
R381,60mΩ,R2512,150.82225,-43.52275,0.0,top
R382,100Ω,R0603,67.63,-62.82675,0.0,top
R384,1kΩ,R0603,89.6,-0.73675,0.0,top
R385,100kΩ,R0603,89.6,-3.21025,0.0,top
R389,19.1kΩ,R0805,133.525,-124.01325,0.0,top
R391,10Ω,R0603,111.87,-113.96675,0.0,top
R392,30kΩ,R0603,111.87,-116.44025,0.0,top
R393,100kΩ,R0603,126.31,-66.10725,0.0,top
R394,5.76kΩ,R0603,126.31,-68.58075,0.0,top
R399,20kΩ,R0603,67.63,-65.30025,0.0,top
R400,11kΩ,R0603,67.63,-67.77375,0.0,top
R401,442kΩ,R0603,67.63,-70.24725,0.0,top
R404,10kΩ,R0603,89.6,-5.68375,0.0,top
R405,40.2kΩ,R0603,89.6,-8.15725,0.0,top
R407,15.8kΩ,R0603,89.6,-10.63075,0.0,top
R408,1MΩ,R0603,126.31,-71.05425,0.0,top
R409,3.92kΩ,R0603,67.63,-72.72075,0.0,top
R410,1.58kΩ,R0603,67.63,-75.19425,0.0,top
R412,100Ω,R0603,71.67,-62.82675,0.0,top
R413,100Ω,R0603,71.67,-65.30025,0.0,top
R414,100Ω,R0603,71.67,-67.77375,0.0,top
